ticker,mu_daily,sigma_daily,mu_annual,sigma_annual
AAPL,0.0009821067295135274,0.018179534514243735,0.2474908958374089,0.288591163653626
AMZN,0.0008573027825138592,0.020392104118744356,0.21604030119349252,0.3237146172452011
GOOGL,0.000893905803689465,0.018124348371782107,0.22526426252974519,0.2877151108010033
META,0.0007308258797312429,0.02428867318118139,0.1841681216922732,0.3855707334787801
MSFT,0.0009234289505526918,0.01676518470721778,0.23270409553927834,0.2661390565161688
NVDA,0.0021980786026016596,0.03118074544804399,0.5539158078556182,0.4949789888948019
